Name,Coef
osAlpha_freq,0.05189675802696206
MI_Inter,0.049115264566344005
error,0.03697282086493514
Slope,0.03264130017370797
h_complexity,0.02733088637598723
wPLI_Inter,0.022691475849068145
LZc,0.012716745945079442
Offset,0.010135614792504691
DFA,0.008726129332998246
osAlpha_BW,0.0009883900519430692
DispEntropy,-0.0004975261284834977
Higuchi_FD,-0.0007160586803188005
wPLI_Intra,-0.0007955380392592503
PermEntropy,-0.000871277524002964
Coh_Inter,-0.001686757290035505
Coh_Intra,-0.008538724734037773
MI_Intra,-0.010887157573415155
clTheta_Power_db,-0.019448386350590346
Total_Power_db,-0.02448163615698576
clBeta_Power_db,-0.031218186330076222
osAlpha_Power,-0.03229733735371185
num_zerocross,-0.03381303542849456
clAlpha_Power_db,-0.04038144715386539
osAlpha_Prev,-0.044124391242250496
clDelta_Power_db,-0.05176315103986555
nPeaksTotalFound,-0.08407826466393856
