,Val,LB,UB
SpearmanR,0.09074950136358896,-0.02148319696187572,0.2022597784369877
CIndex,0.4242365798778528,0.3893683702989393,0.4633751205400193
RMSE,2.990180006385608,2.7817977387217367,3.189827097930139
MAE,2.411764705882353,2.2222222222222223,2.6143790849673203
WRMSE,3.1528957066187746,2.917125981265756,3.3787201373279308
WMAE,2.527832070836492,2.301076715384106,2.7587273124919625
Acc0,0.12745098039215685,0.08823529411764706,0.16666666666666666
Acc1,0.37254901960784315,0.3202614379084967,0.42810457516339867
Acc2,0.565359477124183,0.5098039215686274,0.6209150326797386
Acc3,0.7516339869281046,0.7026143790849673,0.7974673202614379
